Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
1,548,246,302,81777A,Spicy Noodle,Magikid Cupertino Robotics Lab,California - North
2,531,249,282,629Y,Red&Blue,SCBS,East China
3,504,201,303,2988A,Mecha Arbiter,Shanghai Fenghua Junior High School,East China
4,496,213,283,618X,XRaccoon,Minhang Experimental Primary School,East China
5,492,235,257,3988S,Echosong,Irvine Robotics,California - South
6,479,192,287,1512X,Hexagonal Artists,Shanghai Concord Bilingual School,East China
7,471,208,263,478M,Elevate-Mac and Cheese,Elevate Tech,Washington
8,466,203,263,81777X,Cupertino Cheese,Magikid Cupertino Robotics Lab,California - North
9,465,246,219,5571K,Starlight Elves,Qingdao Fuzhou Road Primary School,Middle China
10,464,229,235,6116M,innocence,wankechengxiaoxue,West China
11,461,230,231,3988D,Fried Egg,Irvine Robotics,California - South
12,458,201,257,252S,Sunshine,I Wonder Robotics,Ontario
13,455,218,237,81777B,Chomper,Magikid Cupertino Robotics Lab,California - North
14,454,229,225,65526X,65526x,wankecity,West China
15,454,229,225,33933M,friendship,chaonengshiyanshi,West China
16,454,201,253,81777R,RoboBananas,Magikid Cupertino Robotics Lab,California - North
17,451,201,250,286A,Techno Bananas,Magikid Tustin,California - South
18,448,219,229,97793A,Mecha Masters,HICKS CANYON ELEMENTARY,California - South
19,447,201,246,2675C,Psycho Mouse,Magikid Fremont,California - North
20,441,222,219,6104C,Chicken Buckets,Magikid San Diego,California - South
21,439,236,203,252G,Goodness,I Wonder Robotics,Ontario
22,437,229,208,636M,phoenix,chaonengshiyanshiwanke,West China
23,434,203,231,861A,Speedy Gears,中国农业科学院附属小学,North China
24,434,179,255,13A,Super Heroes,XI'AN GAOXIN EXPERIMENTAL PRIMARY SCHOOL,West China
25,431,230,201,95059A,Saltyfish,Shanghai High School International Division,East China
26,430,229,201,80077A,DFD-A,Dongfengdong Road Primary School(Tian Lun),South China
27,430,201,229,81777Y,Obsidian Drittens,Magikid Cupertino Robotics Lab,California - North
28,429,221,208,99130J,Ace Squad 王牌战队,潘家园科创中心,North China
29,429,190,239,986A,STEMSTAR-Ancient Gear,Shanghai Jincai Hongwen School,East China
30,429,126,303,9199A,STEMSTAR-Super Nuke,Baoshan District  Central Primary School,East China
31,425,175,250,478J,Elevate-478J,Elevate Tech,Washington
32,423,201,222,2675B,The DUCKS,Magikid Fremont,California - North
33,423,190,233,98831K,running boys,STEMSTAR-DaNing,East China
34,423,166,257,2737A,Blazing Bananas,Magikid Robotics Lab Redmond,Washington
35,420,190,230,895A,Pixel Star,NA,California - North
36,419,200,219,5090A,Dragon Team,北京市西城区师范学校附属小学,North China
37,418,201,217,2675F,Air Drone Basis Fremont,Magikid Fremont,California - North
38,416,190,226,838E,End Game,Blaze Robotics Academy,Washington
39,414,213,201,8299B,HZ.Club ,宁波浩泽科技培训有限公司,East China
40,413,128,285,88818A,Homology Alliance,Shanghai International Studies University Shangyang Foreign Language School,East China
41,412,220,192,1132C,RoboHive ACE,虚渊创客工作室,North China
42,412,155,257,839X,// Caution Tape //,Caution Tape Robotics ////,Ontario
43,411,190,221,61666C,Breakfast,Ustar STEM Lab,California - North
44,405,170,235,95133G,Gold Bears,San Jose Robotics Club,California - North
45,405,164,241,182A,AutoMato Robotics,AutoMato Robotics Club,Ontario
46,402,201,201,99291F,JZGC-1,JZGC,South China
47,402,201,201,60666A,Magikid Dream Builders,Magikid Lab,East China
48,402,201,201,636C,hope,chaonengshiyanshi,West China
49,401,190,211,1933M,Maverick Explorers,Shanghai Pinghe School,East China
50,400,192,208,7276X,朱雀IQ2队,Robot.X.Lab.JS,North China
51,398,190,208,62666A,HUA CHUANG Rockets,北京第二实验小学,North China
52,398,190,208,98911E,LittleFish,STEMSTAR-Shanghai,East China
53,398,190,208,98996G,Thunder Dragon,STEMSTAR-Pudong,East China
54,398,179,219,10492W,10492W,上海市教育学会宝山实验学校,East China
55,394,202,192,98226J,创造奇迹队,北京潘家园,North China
56,393,168,225,88788X,Apex Stars,北京未来源科技教育,North China
57,391,203,188,88299B,Science museum 2,Youth Science & Technology Center of Beijing Xicheng,North China
58,391,171,220,15B,Crescent Catastrophe,CRESCENT ELEMENTARY,California - South
59,389,164,225,4010E,◕CSAA◕ Emotional Engineers,CSAAFuture,Ontario
60,389,149,240,38413A,Tech Serpents,N/A,Virginia
61,387,208,179,8588C,QingDao Bymax Team,Qingdao Zhenjiang Road Primary School,Middle China
62,387,179,208,7231G,BASIS International School Shenzhen,BASIS International School Shenzhen,South China
63,384,168,216,95014A,bruh.,STEM Cupertino,California - North
64,384,128,256,8990X,Chronos,Private,California - North
65,382,174,208,94301A,Sandstorm Hedgies,Hoover robotics club,California - North
66,382,179,203,95122H,雷霆之翼,潘家园科技中心,North China
67,380,190,190,99287S,bbtc3,bbtc,South China
68,380,190,190,58051X,杭州二中白马湖教育集团,杭州二中白马湖教育集团,East China
69,379,167,212,897A,Happy Moments,The Second Affiliated School of Fudan University,East China
70,378,177,201,9812W,Wings of Thunder,旧货市场创客实验室,North China
71,376,201,175,88299E,Science museum 5,Youth Science & Technology Center of Beijing Xicheng,North China
72,374,201,173,2276A,robot,Youth Science & Technology Center Of Beijing Xicheng,North China
73,374,110,264,6699U,Super Dragon,Taiwan Robotics Lab,Chinese Taipei
74,373,170,203,58051A,杭州二中白马湖教育集团,杭州二中白马湖教育集团,East China
75,369,180,189,478Z,Elevate-Zero to Hero,Elevate Tech,Washington
76,369,168,201,9452M,Cyber Cookies,M&M,California - South
77,368,153,215,8988P,Penguin,张江高科实验小学&上海中学&福山外国语小学&浦东民办惠立学校联队,East China
78,368,126,242,8966B,Bat,Hangzhou Xuejun Primary School (Qiuzhi Campus),East China
79,363,123,240,6808X,→Southpointe←,Southpointe Academy,British Columbia (BC)
80,360,163,197,2613B,Innov8,The Innovation Story,India
81,357,63,294,69000E,Relax,上海市大宁国际小学,East China
82,356,179,177,838V,Victory,Blaze Robotics Academy,Washington
83,354,164,190,99287G,bbtc,bbtc,South China
84,354,112,242,8282X,Godspeed,GotRobotics,California - South
85,354,135,219,20160M,MINIONS,THCS LY TU TRONG,Vietnam
86,352,112,240,1002C,Dreamers.GC,嘉義喬智創意機器人,Chinese Taipei
87,351,137,214,6885X,Soda Pop,RoboPlanet Burnaby,British Columbia (BC)
88,350,132,218,81067A,81,华南师范大学附属广州大学城小学,South China
89,349,120,229,95133E,Robo Pandas,San Jose STEM,California - North
90,347,168,179,31051X,中国杭州低碳科技馆,"Hangzhou Low Carbon Science and Technology Museum, Hangzhou, China",East China
91,347,146,201,21136B,Gladiators,Magikid Highland Park,Texas - Region 2
92,346,218,128,50009E,LW-E,Guangzhou Liwan Children's Palace,South China
93,346,110,236,8866K,8866K,Xiuzhou Experimental School affiliated to Zhejiang Normal University,East China
94,345,110,235,95133X,NeRdS,San Jose STEM,California - North
95,344,130,214,95111F,Nova Phoenix ,Beijing Haidian District Renbei Experimental School,North China
96,343,173,170,98226W,翱翔吧！孩有翼之队,北京潘家园,North China
97,343,90,253,3668A,Sentient Robotics Club - Hypercharge,Macau Artificial Intelligence Education Center,Macau
98,341,144,197,58766B,Mad Engineers,Omotec,India
99,341,138,203,5004S,MechaCoding S,MechaCoding Academy,South Korea
100,340,110,230,3207F,Fried Chicken,Diamond Bar Robotics,California - South
101,339,138,201,93557Z,Zeus,FusionBot,New York-South
102,339,110,229,9919A,HUA CHUANG Rockets,五路通,North China
103,339,110,229,60065A,Motorized Militia,Motorized Militia,Louisiana
104,337,218,119,1244A,KunLun Lab,昆仑创客,North China
105,336,208,128,8588B,QingDao Bymax Team,Qingdao Laigao Science and Technology Training School,Middle China
106,336,110,226,81777C,Taro Titans,Magikid Cupertino Robotics Lab,California - North
107,335,121,214,839Y,// Caution Tape Y-Stack //,Caution Tape Robotics ////,Ontario
108,335,110,225,69699A,Dehydrated Water,Reddam House,Australia
109,334,222,112,2876A,极光,kb_group,North China
110,334,190,144,765X,RoboHive,RoboHive,North China
111,334,126,208,1311B,西安曲江德闳学校,西安曲江德闳学校,West China
112,334,115,219,295Z,Z-woks,Placer Robotics (PART),California - North
113,333,115,218,5366P,ALCTRON,ALCTRON,South China
114,333,120,213,15678W,Lightning Bots,Redwood Robotics @ Sandpiper School,California - North
115,333,115,218,7835S,Titanium Sharks,J2 Education,California - South
116,331,128,203,1100E,Cosmobots,GRASSY LAKE ELEMENTARY SCHOOL,Florida - North/Central
117,330,127,203,67733A,JoMaker,究匠學教學基地,Chinese Taipei
118,330,112,218,85278A,明瑄华创,明瑄华创瓦力教育科技有限公司,North China
119,329,110,219,17593X,HYPER BOT CNX,Simzone Robotics by ECU=Shop,Thailand
120,329,110,219,61666G,Dinner,Ustar STEM Lab,California - North
121,328,127,201,1686C,西安市曲江第一学校,西安市曲江第一学校,West China
122,328,110,218,2033A,Project Quantum ,Guardians Alliance ,Nevada
123,327,201,126,2675W,IQ 200 Basis Fremont,Magikid Fremont,California - North
124,326,136,190,2613F,CuriousCity,The Innovation Story,India
125,326,134,192,6593B,Stallionbots,Schilling Farms Elementary School,Tennessee
126,324,166,158,6183A,Xi'an  QBZ ,西安高新路小学/陕西省西安小学/西安高新东区小学,West China
127,324,127,197,21404A,Cyber Wizards ,Home Team ,North Carolina
128,324,114,210,21350H,Ravage Riceballs,Trinity Grammar Preparatory School,Australia
129,324,84,240,68039V,IronBots,Trường trung học cơ sở Cầu Giấy,Vietnam
130,323,149,174,372Z,372Z,上海音乐学院实验学校,East China
131,322,121,201,473A,Dragon Botz 2.0,FLAGSTAFF CHARTER ACADEMY,Colorado
132,321,84,237,9699P,Shen Wai International School,Shen Wai International School,South China
133,321,112,209,5877F,Da Potatoes,EDUBOT Inc.,California - South
134,320,201,119,99288W,JZGC-3,JZGC,South China
135,320,141,179,68888A,Anonymous,Shanghai Children`s Library,East China
136,320,110,210,87258A,华创,Beijing Huachuang Vali,North China
137,320,108,212,7323X,7323X,Shanghai Qiu Zhi Primary School,East China
138,319,146,173,683A,RoboHive,RoboHive,North China
139,319,94,225,82823A,Space Explorers,Hungry Rabbits Robotics,Texas - Region 2
140,318,127,191,689A,Tech Wizards,Davis Youth Robotics,California - North
141,318,110,208,4028T,Axolittles,Axolotls Robotics @ Sandpiper School,California - North
142,315,114,201,30707A,GL Robotix,Chickamauga Elementary School,Georgia
143,315,97,218,779G,FA-The Immortal Squad,Futurum Academy Singapore,Singapore
144,314,124,190,838B,Boom,Blaze Robotics Academy,Washington
145,314,110,204,80020A,The Bunting Bots,Rocky Robotiqs,Colorado
146,314,99,215,91429X,Prometheus,Prometheus Stem Labs,Florida - North/Central
147,313,201,112,99289D,JZGC-2,JZGC,South China
148,313,160,153,9608X,AE86,Shanghai Children`s Library,East China
149,313,112,201,19901A,Cooley Tigers,T. S. COOLEY ELEMENTARY MAGNET SCHOOL,Louisiana
150,313,110,203,1686A,西安市曲江第一学校,西安市曲江第一学校,West China
151,313,110,203,15159A,Science museum,Youth Science & Technology Center of Beijing Xicheng,North China
152,311,110,201,45654A,Egg Roll,Code surfer,California - North
153,311,80,231,26862A,Infinite,VEX ACADEMY@Suzhou,East China
154,311,80,231,80086C,Special Synergy,上海市虹口区凉城第三小学,East China
155,310,84,226,20259A,STALLION,THCS Cầu Giấy,Vietnam
156,310,91,219,22051B,Budding Genius,Robospark,Washington
157,309,117,192,73429A,A.I.M Bot,Nilis's Art Studio,Texas - Region 4
158,307,172,135,26862B,Quantum Master,VEX学苑苏州人民路校区,East China
159,307,126,181,804A,Pin Destroyers,BROOKWOOD ELEMENTARY SCHOOL,Texas - Region 3
160,307,110,197,1431A,TITANS,Sirius Dynamics,Florida - South
161,307,99,208,6565A,A+,RoboPlanet Richmond 02,British Columbia (BC)
162,307,86,221,9965E,Explosive Lightbulbs,AOE Robotics Club,Maryland
163,305,110,195,15C,Crescent Overdrive,CRESCENT ELEMENTARY,California - South
164,304,99,205,9175A,YCIS.BJ,华创瓦力,North China
165,303,128,175,46140A,Floating Hotdogs,Ketchup & Mustard Robotics,Indiana - Region 2 - Central
166,303,106,197,66162A,The Gear Pals,The Gear Pals,California - South
167,303,102,201,43631M,MechaVolt ,MechaVolt ,Texas - Region 3
168,302,110,192,97517A,Iron Man,好未来,North China
169,302,73,229,4010W,◕CSAA◕ Wobbly Water,CSAAFuture,Ontario
170,302,54,248,76527A,LaZ BoyZ,Solar Strikeforce,Texas - Region 3
171,300,110,190,15159C,Science museum,Youth Science & Technology Center of Beijing Xicheng,North China
172,300,110,190,95014B,Forsaken,STEM Cupertino,California - North
173,300,110,190,96000A,Wired Warriors,The Mind Spark,Pennsylvania - East
174,300,47,253,20259R,Venus,THCS Cầu Giấy,Vietnam
175,300,99,201,18533A,New Start Robotics Team A,北京市中关村第三小学,North China
176,299,112,187,99130W,凌云先锋,潘家园科创中心,North China
177,299,80,219,93557G,Artemis-8513,FusionBot,New York-South
178,299,35,264,839W,// Caution Tape Watermelon //,Caution Tape Robotics ////,Ontario
179,296,87,209,17222A,Royal Roboteers,Nysmith Independent Team,Virginia
180,296,97,199,8696B,Shura,"Gaoling District Chengguan Primary School, Xi'an",West China
181,295,127,168,8188A,Yuxiang Primary School,Beijing Yuxiang Primary School,North China
182,292,118,174,8882B,KMYLS,Kwong Ming Ying Loi School,Hong Kong
183,292,73,219,17750A,MBI,Davis Youth Robotics,California - North
184,292,84,208,26989B,TPCS RoboKnights B,TRADERS POINT CHRISTIAN ACADEMY,Indiana - Region 2 - Central
185,291,112,179,20159X,ZHM机器人实验室,ZHM机器人实验室,East China
186,291,110,181,2599A,广州华外vex战队,华外同文外国语,South China
187,291,84,207,16789K,Doraemonster,Archimedes School,Vietnam
188,289,179,110,99287P,bbtc3,bbtc,South China
189,289,110,179,9911Z,9911Z,Mech Studio,North China
190,289,99,190,10831A,SubZero,The Robotics Garage,Washington
191,289,86,203,2626X,VEX G.O.A.T.s,St. Francis Xavier Middle School,Wisconsin
192,287,62,225,4010G,◕CSAA◕ Gifted Ghosts,CSAAFuture,Ontario
193,285,110,175,68681A,Thunder Team,培训机构,North China
194,285,64,221,41714X,Overclocked,Overclocked,Washington
195,283,82,201,8877Y,Cyber Chargers,Shanghai Primary School of Xuhui District,East China
196,283,80,203,6637A,Miracle Reappears,Baoshan District Third Central Primary School,East China
197,281,73,208,6900A,Not Very Busy,iSTEAM Academy,Massachusetts
198,279,62,217,7276M,朱雀IQ1队,Robot.X Lab.JS,North China
199,276,121,155,765A,RoboHive,RoboHive,North China
200,276,110,166,6520C,东方娃娃,东方娃娃,North China
201,276,84,192,94321C,Bouncy Mochi,Magikid Palo Alto Robotics,California - North
202,276,84,192,8873B,X-STREAM,THOMAS EDISON ENERGYSMART CHARTER SCHOOL,New Jersey
203,276,82,194,5866C,THE OTHER TEAM,LING TONG EDU,California - South
204,276,73,203,922Z,Halo,北京学而思,North China
205,275,91,184,67890A,Miracle,南投縣私立普台國民小學,Chinese Taipei
206,274,73,201,81125G,长春市明德路小学,长春市明德路小学,North China
207,274,73,201,55566A,A计划1队,Plan A Technology Growth Center,Middle China
208,272,105,167,3207K,Pikachu,Diamond Bar Robotics,California - South
209,272,72,200,3166A,Winner the Poo,Fateful Robotics,Texas - Region 2
210,272,41,231,6885B,Coders of the Caribbean,RoboPlanet Burnaby,British Columbia (BC)
211,271,166,105,6186A,Xi'an  ZBC ,西北大学附属小学/西安市莲湖区土门小学/西安市新城区后宰门小学/西安经开第一学校,West China
212,271,122,149,18511A,中国人民大学附属中学实验小学A队,中国人民大学附属中学实验小学,North China
213,270,80,190,5888B,小智工大B队,Xiaozhi Robot 小智机器人科学活动中心,North China
214,270,80,190,937B,Killer Whale,Shanghai Jincai Experimental Primary School,East China
215,270,80,190,10836B,Fire Hawks,ROBOSTORM,British Columbia (BC)
216,267,238,29,298A,Smart Penguins,Smart Penguins,British Columbia (BC)
217,267,69,198,6611T,TLVJ,Dr.player robotics lab Zhubei,Chinese Taipei
218,266,123,143,9027B,园岭特攻队,Yuen Ling Primary School,South China
219,266,102,164,838C,Croissants,Blaze Robotics Academy,Washington
220,266,98,168,1295X,Hypernova,Hypernova Robotics,California - South
221,265,159,106,52068A,52068A,北京乐高创领教育科技有限公司,North China
222,265,84,181,99889C,AstroBits,Cuddle STEM Center,Chinese Taipei
223,265,75,190,1779A,Magikid Titans,MagikidCedarpark,Texas - Region 4
224,264,110,154,3125M,ArchieBots,Archiebots Robotics Academy,Indiana - Region 1 - North
225,262,80,182,6677G,GearForce,Dr. Player Robotic Lab . Nantou,Chinese Taipei
226,262,80,182,9066Z,magikid beijing,北京市陈经纶中学分校望京实验学校,North China
227,262,86,176,93328A,RoboNati,Mason-WestChester Robotics,Ohio
228,262,61,201,80085W,CyberDrones,ORCHARD HILLS,California - South
229,261,118,143,8882A,KMYLS,Kwong Ming Ying Loi School,Hong Kong
230,261,110,151,6366Y,6366Y,浣熊工作室,West China
231,261,86,175,58071A,The Men in Black,Maple Valley Elementary School,North Dakota
232,260,14,246,79813J,Brave,Vinschool Times City & Ngôi sao Hoàng Mai,Vietnam
233,258,137,121,2613G,MECH MAVERICKS,The Innovation Story,India
234,257,138,119,71030G,PNP-G,VEX Academy of  Guangzhou PNP studio,South China
235,257,84,173,2615B,Access Denied,Nita Mukesh Ambani Junior School,India
236,257,49,208,9066A,magikid beijing,北京市朝阳区人朝分东坝学校,North China
237,257,0,257,9110A,Genius Fish,Shanghai Soong Ching Ling School‌,East China
238,256,110,146,58766A,Robo-Kings,Omotec,India
239,256,88,168,96869X,The Avengers,弘文留学咨询(广州)有限公司,South China
240,255,87,168,91228A,Control-Alt-Defeat,North London Collegiate School Jeju,South Korea
241,254,110,144,1100S,King Pins,GRASSY LAKE ELEMENTARY SCHOOL,Florida - North/Central
242,253,0,253,31203C,31203C,Xiuzhou Affiliated Experimental School of Zhejiang Normal University,East China
243,252,69,183,5366G,ALCTRON VEX CLUB,ALCTRON,South China
244,252,84,168,5010D,Stella Scorpion,Glendal Primary School,Australia
245,251,128,123,10492T,上海市浦东新区清源小学,上海市浦东新区清源小学,East China
246,249,58,191,3335K,长宁来福士,长宁来福士,East China
247,248,101,147,35016H,(AERO) Team Hughes,ARAB ELEMENTARY SCHOOL,Alabama
248,248,84,164,81500A,Gummy Squirrels,Gummy Squirrels,Florida - North/Central
249,246,127,119,69777V,魔力战队,哈尔滨魔力AI科学探索中心,North China
250,246,110,136,58766D,Trial and Error,Omotec,India
251,245,74,171,83089B,Tsinghua University Affiliated Middle School,Tsinghua University Affiliated Middle School Guanzhuang School,North China
252,245,53,192,91108C,Banana Pigeons,SAN MARINO ROBOTICS LAB,California - South
253,244,24,220,77710A,The Matrix,Private Team,North Carolina
254,244,32,212,98877K,98877K,STEMSTAR-Shanghai,East China
255,243,84,159,66767A,6 7,Future Minds of Carolinas,North Carolina
256,242,91,151,21121A,VEXTRONS,MANATEE BAY ELEMENTARY SCHOOL,Florida - South
257,242,0,242,2373V,2373V,Shanghai Xiwai International School,East China
258,241,117,124,18305B,Lion Innovators,Sagemont Preparatory School,Florida - South
259,241,101,140,552S,552,中国农业科学院附属小学,North China
260,240,117,123,35999A,RoboHive ACE,北京精诚实验小学,North China
261,240,80,160,6699E,Nothing,Taiwan Robotics Lab,Chinese Taipei
262,240,84,156,12421A,Peregrine Falcon,Yiyun Tang,California - North
263,240,80,160,85454B,(*‿*)(*‿*) Team Possibility (*‿*)(*‿*),DYR,California - North
264,240,80,160,4010V,◕CSAA◕ Vroom Vroom Vitality,CSAAFuture,Ontario
265,240,64,176,478T,Elevate-Firestorm,Elevate Tech,Washington
266,240,10,230,3627A,3627A,苏州唯尔斯丹姆机器人科技有限公司,East China
267,238,112,126,7374C,回龙观一队,kb_hlg,North China
268,237,99,138,99287K,bbtc2,bbtc,South China
269,235,34,201,1661A,中关村第一小学,中关村第一小学,North China
270,234,55,179,1002A,Builders.GC,嘉義喬智創意機器人,Chinese Taipei
271,234,86,148,478R,Elevate-Best Bots,Elevate Tech,Washington
272,233,36,197,18000B,Carson STEAM 2,CARSON STREET ELEMENTARY,California - South
273,232,51,181,83988C,STEMBLOCK - New Brunswick,STEMBLCOK,New Brunswick/Nova Scotia/Prince Edward Island
274,232,2,230,97A,兰州市城关区水车园小学A队,兰州市城关区水车园小学,West China
275,231,112,119,96699G,Shekou International School,Shekou International School,South China
276,231,34,197,839R,// Caution Tape //,Caution Tape Robotics ////,Ontario
277,230,140,90,7374D,回龙观二队,kb_hlg,North China
278,230,139,91,2615A,Quantum Questioners,Nita Mukesh Ambani Junior School,India
279,230,86,144,32112A,Rust Buckets,Heritage Christian Academy,Texas - Region 2
280,230,56,174,6185A,Xi'an  TNT ,西安高新第二小学/西咸新区沣东新城阳光城小学,West China
281,230,29,201,3030D,Biscuit Robotics D,Biscuit Robotics,Texas - Region 3
282,229,101,128,839T,// Caution Tape Tank //,Caution Tape Robotics ////,Ontario
283,229,17,212,10492X,10492X,上海市爱菊小学,East China
284,229,28,201,33122A,33122,上海市静安区万航渡路小学,East China
285,229,28,201,5004Z,MechaCoding Z,MechaCoding Academy,South Korea
286,229,2,227,484A,G-Force,BD,Washington
287,229,0,229,88788A,Apex Stars,北京未来源教育,North China
288,228,99,129,8848A,东北师范大学附属小学,东北师范大学附属小学,North China
289,228,81,147,25757B,Delta Bots,Diesel Learning,Virginia
290,228,27,201,2706A,WYJJ Team A,TWGHs Wong Yee Jar Jat Memorial Primary School,Hong Kong
291,228,14,214,82018A,EDS - DRAGON,InnoChain – Edu Investment Joint Stock Company,Vietnam
292,227,97,130,21350F,Tech Bosses,Trinity Grammar Preparatory School,Australia
293,227,91,136,95133D,Girl Powered-Eclipse,San Jose STEM,California - North
294,227,24,203,2526C,firefly,深圳市福田区石厦学校,South China
295,227,24,203,96902C,ABE StarBots Team C,AMY BEVERLAND ELEMENTARY,Indiana - Region 2 - Central
296,226,110,116,7899X,Rolling Robots Blue Inferno,Rolling Robots,California - South
297,226,0,226,98629A,HA,STEMSTAR,East China
298,226,17,209,22051D,Fire Dragons,Robospark,Washington
299,225,7,218,10432G,sinavro,gimhae robotics,South Korea
300,224,112,112,81020A,Beijing Bayi School,Beijing Bayi School,North China
301,224,21,203,277X,TechX Vortex,TechX Robotics,California - South
302,224,74,150,6440C,Guilford GearBusters,GUILFORD ELEMENTARY,Indiana - Region 2 - Central
303,224,84,140,52710A,The Rising Eagles,BELLS ELEMENTARY,South Carolina
304,224,34,190,4250Y,Chonkbot Squad,MuYv Robotics Consulting,New Zealand
305,224,14,210,8672B,8672B,CHINGSHIN ACADEMY 高年級組,Chinese Taipei
306,223,91,132,779B,FA-FA,Futurum Academy Singapore,Singapore
307,223,56,167,3207B,Oblivion,Diamond Bar Robotics,California - South
308,222,110,112,2999F,VEXZILLA,CodeLab,Thailand
309,222,84,138,1243A,HK - ABM,Matt Robotics,Hong Kong
310,222,69,153,5366A,ALCTRON VEX CLUB,ALCTRON,South China
311,221,91,130,2594A,SBCPS,St. Bonaventure Catholic Primary School,Hong Kong
312,221,2,219,9699A,Shen Wai International School,Shen Wai International School,South China
313,220,110,110,2876B,掠影,kb_group,North China
314,220,101,119,9699C,Shen Wai International School,Shen Wai International School,South China
315,220,17,203,6104H,GIRL POWERED HYDRANGEA!,Magikid San Diego,California - South
316,220,17,203,9195A,Flaming Phoenix,Robot&Beyond,Massachusetts
317,219,148,71,2614A,COLOSSAL CODER,Ascend International School,India
318,219,109,110,20369W,The Angry Hot Dogs,W&Z,California - North
319,219,16,203,1140A,Discobots,XM Robotics,Ontario
320,219,0,219,20267B,Quantum Gear,The Beyond Coding,South Korea
321,219,0,219,6786A,长庆八中/西安经开第五小学/西安未央锦园小学/范家小学,长庆八中/西安经开第五小学/西安未央锦园小学/范家小学,West China
322,218,98,120,42403A,Aurora Red Devils,Aurora Elementary School,Indiana - Region 3 - South
323,218,72,146,243A,TechTigers,FRONTIER SCHL OF INNOVATION-M,Missouri
324,218,68,150,57100X,YARIS MECHANICS,Balıkesir Provincial Directorate of National Education ,Türkiye
325,218,62,156,70113T,GC Novas,台南喬智創意機器人,Chinese Taipei
326,218,36,182,79019X,79019X,坂田实验小学,South China
327,218,2,216,67890C,Dragon,南投縣私立普台國民小學,Chinese Taipei
328,217,99,118,9556A,Hua Chuang,华创瓦力,North China
329,215,91,124,6116H,innocence,hubinxiaoxue,West China
330,215,91,124,80292D,Robo Rangers,AOTE Foundation,Michigan
331,215,88,127,22020Y,The Penguins,Kidwe Lab,New Zealand
332,215,40,175,18823M,Mt Auburn Tech Mustangs,MOUNT AUBURN STEAM ACADEMY,Texas - Region 2
333,215,14,201,32881N,Arrowhead NextGen,Arrowhead Robotics,Philippines
334,215,0,215,63330D,Ducky,Future Sphere,New York-South
335,214,110,104,71548A,奕彩鸿飞,海淀妇女儿童活动中心,North China
336,214,93,121,58766G,Livewires,Omotec,India
337,214,65,149,99396D,Donut Divas,Hartselle Robotics Club - Morgan County 4H,Alabama
338,214,0,214,7799A,TQTC_GAMER,上海市浦明师范附属小学,East China
339,213,101,112,68808A,Utopia Robotics,Utopia Robotics,East China
340,213,51,162,560A,Donut Sparkle Squad,Northern Michigan Robotics Club,Michigan
341,213,38,175,18697A,DPS,Dural Public School,Australia
342,212,82,130,5988X,RoboTrons,Robotrons @ Sandpiper School,California - North
343,212,64,148,8181E,Team Xtreme,MANDARIN IMMERSION MAGNET SCHOOL,Texas - Region 3
344,212,56,156,29766T,Quarry Lads & Lassie,Stinesville Robotics Team,Indiana - Region 3 - South
345,212,48,164,7835B,Buff Bananas,J2 Education,California - South
346,212,0,212,7799Y,TQTC_Hammer,洋泾菊园实验学校,East China
347,211,99,112,9399F,9399F,器宇智能机器人,East China
348,211,71,140,821D,The Ramen Dragons,ED H WHITE ELEMENTARY SCHOOL,Texas - Region 3
349,211,62,149,2999C,MIRAGE,CodeLab,Thailand
350,211,48,163,98777C,Miracle Reappears,STEMSTAR-Shanghai,East China
351,210,82,128,93557X,Ares 2009,FusionBot,New York-South
352,210,9,201,2220Z,Mayday,好未来,North China
353,209,20,189,9955E,Cybot-Vortex,Cybot,British Columbia (BC)
354,208,84,124,80066A,Gear wheel,Changsha Lushan International Experimental Primary School,Middle China
355,208,7,201,98777K,Lucky Angel,New Hongxing Primary School,East China
356,208,0,208,8696A,WC King,Xi'an jingkai No.16 Primary School,West China
357,208,0,208,27215W,Resilience Wisdom,Vinschool Smart City,Vietnam
358,207,125,82,6811B,NK_StarBots,NNKIEH,Chinese Taipei
359,207,88,119,60668A,MagicBot,MagicBot,Washington
360,207,73,134,6177A,Armored Axolotls,Robotfun Academy,Massachusetts
361,207,0,207,82222V,AE86,HaMeng Coding,North China
362,206,91,115,62762A,AXEL Bots,AXEL Bots,Virginia
363,205,86,119,51001A,Wuyi Future Exporimontal Primary School Team A,"Wuyi Future Exporimontal Primary School,Haidian Distrlct,Beijing",North China
364,205,4,201,99298A,HuaCHuang-VEX,华创瓦力机器人,North China
365,205,4,201,5559C,OK-Eclipse Synthetic,OpenKids,Singapore
366,204,14,190,9408B,Beta,BC Technology Consulting INC,New York-South
367,203,0,203,20260A,Genboo,Genboo Robotics,California - North
368,203,0,203,7755C,Flying boys,Shanghai Zhuqiao Experimental Primary School,East China
369,203,2,201,7146A,ClickRobot Watcharapol #2,ClickRobot Watcharapol,Thailand
370,203,2,201,16688K,Dracobots ES/Kool Kats,Dracobots,Oregon
371,203,0,203,92333G,ALCTRON VEX CLUB,ALCTRON HB,Middle China
372,203,0,203,54088A,X-Kids,JingChengZhongXin,East China
373,201,89,112,6811A,NK_RoboForce,NNKIEH,Chinese Taipei
374,201,84,117,53732G,Pendragon,All Nations Community School,Texas - Region 3
375,201,64,137,6780A,Knight Byte Pups,Knight Byte Pups,Georgia
