Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
2031,64,18,46,77732M,MSLR Club,MSLR Robotics,Indiana - Region 1 - North
2032,64,18,46,1972B,Cardinal Claw,HOLY FAMILY ST. MARYS SCHOOL,North Dakota
2033,64,17,47,70510F,Mechanical Monkeys,MEAD ELEMENTARY SCHOOL,Colorado
2034,64,7,57,10457A,Green Bean Casserole from Mansfield,Mansfield Elementary School,Georgia
2035,64,14,50,57783F,Tech Monkeys,Falcon Academy of Science and Technology,California - South
2036,64,6,58,3214D,Southland RebelWolfBots,SOUTHLAND ELEMENTARY,Minnesota
2037,64,2,62,44844M,Lil' Cheesecurds,Neenah Middle School,Wisconsin
2038,64,6,58,74510R,Big Creek Lakers Gold,TANNER WILLIAMS ELEMENTARY SCHOOL,Alabama
2039,64,4,60,58073B,Despicable Three,WASHINGTON ELEMENTARY SCHOOL,North Dakota
2040,64,2,62,43444V,Northview Vex Vikes,NORTHVIEW ELEMENTARY SCHOOL,Indiana - Region 1 - North
2041,64,6,58,93558J,Bob the Builders,REEDS SPRING INTERMEDIATE,Missouri
2042,64,6,58,95601A,Iron Eagles,General Ricardo Sanchez Elementary,Texas - Region 6
2043,64,2,62,27613A,Cyberbotzz!,ASBURY ELEMENTARY SCHOOL,Alabama
2044,64,2,62,2626S,Poison Pythons,ST FRANCIS XAVIER MIDDLE SCHOOL,Wisconsin
2045,64,4,60,19398C,BEZ,HILLCREST ELEMENTARY SCHOOL,Alabama
2046,64,0,64,9965M,Luminex,AOE Robotics Club,Maryland
2047,64,2,62,9200C,Cookie Monsters,ALICIA R CHACON INTERNATIONAL,Texas - Region 1
2048,64,2,62,2465A,The Sharks,VALLEY VIEW SCHOOL,Utah
2049,64,0,64,54854A,广州市黄埔区青少年宫知识城A队,广州市黄埔区青少年科技教育协会,South China
2050,64,0,64,63366B,Magic Dragons,IGNITE ROBOTICS ,North Carolina
2051,64,0,64,31114C,Brown Elementary Robotics,BROWN  HANNAH MARIE ELEMENTARY SCHOOL,Nevada
2052,64,0,64,3203D,Robolabs Discover,Robolabs,California - North
2053,64,0,64,3580B,Stingbots Biryani,SEMINOLE SCIENCE CHARTER SCHOOL,Florida - North/Central
2054,64,0,64,40591E,Popcorn Penguins,WOODBROOK ELEMENTARY SCHOOL,Indiana - Region 2 - Central
2055,63,7,56,279D,Trailblazers,Trailblazer Robotics Juniors,Georgia
2056,63,18,45,18493B,Santa Rita Elementary,SANTA RITA ELEMENTARY SCHOOL,Texas - Region 5
2057,63,18,45,90247B,RoboBuddies,PRICE (MAUDE) ELEMENTARY,California - South
